num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
58,5,12,0.7586,0.1207,0.1207,0.1207,0.0862,0.471,0.0345,0.0,0.0,0.0,0.0345
67,5,13,0.7313,0.1343,0.0597,0.1493,0.0896,0.5038,0.0,0.0,0.0,0.0,0.0
66,5,13,0.7727,0.2121,0.1061,0.1364,0.0606,0.4204,0.0455,0.0,0.0,0.0,0.0455
40,4,10,0.85,0.2,0.1,0.1,0.15,-0.14,0.0,0.0,0.0,0.0,0.0
57,4,14,0.807,0.1579,0.0877,0.1754,0.0877,0.3411,0.0,0.0,0.0,0.0175,0.0
55,5,11,0.7455,0.2182,0.0727,0.1273,0.0182,0.5625,0.0364,0.0,0.0,0.0,0.0364
75,5,15,0.7733,0.2,0.1067,0.1067,0.0533,0.4178,0.0,0.0,0.0133,0.0,0.0267
66,5,13,0.7727,0.2121,0.0909,0.1364,0.0455,0.5048,0.0,0.0,0.0,0.0,0.0
61,5,12,0.7869,0.1803,0.082,0.1967,0.0492,0.3181,0.0164,0.0,0.0,0.0,0.0164
73,5,15,0.726,0.1918,0.0685,0.137,0.0548,0.3742,0.0137,0.0,0.0,0.0,0.0137
60,5,12,0.8333,0.1833,0.1,0.1667,0.0667,0.5139,0.0,0.0,0.0,0.0,0.0333
39,4,10,0.8205,0.1795,0.1026,0.0513,0.0256,0.5333,0.0,0.0,0.0,0.0,0.0
58,4,14,0.7241,0.2241,0.069,0.1207,0.0345,0.3083,0.0172,0.0,0.0,0.0,0.0
75,5,15,0.72,0.2,0.08,0.1467,0.0133,0.3677,0.0133,0.0,0.0,0.0,0.04
57,5,11,0.8246,0.2105,0.0877,0.1053,0.0877,0.2265,0.0351,0.0175,0.0,0.0,0.0175
69,6,12,0.7681,0.1739,0.1159,0.1304,0.0725,0.5733,0.0145,0.0,0.0,0.0,0.0
29,4,7,0.931,0.1724,0.1724,0.1034,0.1724,-0.25,0.0,0.0,0.0345,0.0,0.069
59,4,15,0.8305,0.2712,0.1017,0.1525,0.0169,0.3393,0.0169,0.0,0.0,0.0,0.0169
37,4,9,0.8649,0.2432,0.1081,0.1081,0.0811,0.4629,0.0,0.0,0.0,0.0,0.027
68,6,11,0.8382,0.1618,0.1618,0.1471,0.0588,0.3277,0.0294,0.0,0.0,0.0,0.0441
71,5,14,0.7887,0.1831,0.0563,0.1549,0.0423,0.4894,0.0282,0.0,0.0,0.0,0.0141
57,4,14,0.7719,0.2105,0.0702,0.1053,0.0351,0.2139,0.0,0.0175,0.0,0.0175,0.0175
53,5,11,0.8868,0.1698,0.1321,0.1321,0.0755,0.5778,0.0189,0.0,0.0189,0.0,0.0189
75,5,15,0.7467,0.16,0.0933,0.1733,0.08,0.2438,0.0,0.0,0.0133,0.0,0.04
77,5,15,0.7662,0.2338,0.1169,0.0909,0.0649,0.3107,0.026,0.0,0.0,0.0,0.026
62,4,16,0.7742,0.2258,0.0484,0.1774,0.0323,0.3438,0.0161,0.0,0.0161,0.0,0.0161
53,5,11,0.7358,0.1321,0.0755,0.2075,0.0943,0.3987,0.0377,0.0,0.0,0.0,0.0189
54,5,11,0.8148,0.2407,0.037,0.0926,0.037,0.44,0.0,0.0,0.0,0.0,0.0185
47,4,12,0.8085,0.2553,0.1064,0.1277,0.0851,0.4958,0.0638,0.0,0.0,0.0,0.0426
41,4,10,0.878,0.2439,0.0976,0.1463,0.0488,0.37,0.0488,0.0,0.0,0.0,0.0
53,5,11,0.8868,0.1509,0.1698,0.0943,0.0943,0.3694,0.0,0.0,0.0,0.0189,0.0377
73,6,12,0.7945,0.2055,0.1096,0.1096,0.0411,0.3149,0.0137,0.0,0.0,0.0,0.0274
55,5,11,0.8364,0.0909,0.1455,0.2,0.0727,0.6476,0.0364,0.0,0.0,0.0182,0.0
48,4,12,0.8542,0.1875,0.125,0.1667,0.0625,0.3599,0.0208,0.0,0.0,0.0,0.0417
46,3,15,0.7826,0.1522,0.0435,0.1304,0.087,0.3019,0.0435,0.0,0.0435,0.0,0.0
88,6,15,0.75,0.2273,0.0682,0.1477,0.0568,0.3571,0.0341,0.0,0.0,0.0,0.0227
43,4,11,0.7442,0.1628,0.093,0.2326,0.0233,0.0792,0.0,0.0,0.0,0.0,0.0
83,5,17,0.6988,0.1566,0.0602,0.1807,0.0361,0.3837,0.0241,0.0,0.0,0.0,0.0241
56,4,14,0.7679,0.2321,0.0893,0.1429,0.1071,0.3714,0.0,0.0,0.0,0.0,0.0
45,4,11,0.8667,0.1556,0.1111,0.1778,0.0889,0.6071,0.0444,0.0,0.0,0.0222,0.0222
53,6,9,0.8302,0.2264,0.0755,0.1698,0.1132,0.2591,0.0189,0.0,0.0,0.0,0.0
75,6,12,0.7733,0.24,0.0933,0.16,0.04,0.3265,0.0133,0.0,0.0,0.0,0.0267
46,5,9,0.8913,0.1739,0.1304,0.1087,0.1087,0.3854,0.0435,0.0,0.0,0.0,0.0
58,4,14,0.6552,0.2759,0.0862,0.1897,0.0172,0.4542,0.0,0.0,0.0345,0.0,0.0172
70,6,12,0.7571,0.2,0.1,0.1429,0.0286,0.4745,0.0286,0.0,0.0,0.0,0.0286
45,3,15,0.7778,0.2222,0.0889,0.1111,0.0889,0.3601,0.0222,0.0,0.0444,0.0,0.0
41,3,14,0.8049,0.2439,0.0488,0.122,0.0732,0.3226,0.0488,0.0,0.0,0.0,0.0
50,4,12,0.8,0.18,0.08,0.1,0.02,0.8187,0.02,0.0,0.0,0.0,0.02
62,5,12,0.7581,0.2258,0.0968,0.2097,0.0484,0.4333,0.0,0.0,0.0,0.0,0.0
73,5,15,0.726,0.2055,0.0959,0.1781,0.0411,0.201,0.0274,0.0,0.0,0.0,0.0411
47,4,12,0.8936,0.1915,0.1064,0.1702,0.1064,0.0741,0.0213,0.0,0.0213,0.0,0.0
75,5,15,0.7733,0.2,0.1067,0.1067,0.0533,0.4178,0.0,0.0,0.0133,0.0,0.0267
74,6,12,0.8243,0.1486,0.0811,0.1216,0.0946,0.3222,0.0,0.0,0.0,0.0,0.0405
63,5,13,0.7778,0.1429,0.127,0.1905,0.0635,0.4402,0.0317,0.0,0.0,0.0,0.0317
72,6,12,0.7778,0.2639,0.0972,0.125,0.0556,0.2524,0.0278,0.0,0.0,0.0,0.0278
50,4,12,0.78,0.16,0.12,0.18,0.08,0.5086,0.02,0.0,0.02,0.0,0.02
28,4,7,0.9286,0.1786,0.1429,0.0714,0.1071,-0.8667,0.0,0.0,0.0,0.0,0.0357
81,5,16,0.7778,0.1358,0.1111,0.1605,0.0864,0.37,0.0247,0.0,0.0123,0.0,0.0494
55,5,11,0.8182,0.1636,0.1091,0.1818,0.0545,0.2868,0.0182,0.0,0.0,0.0,0.0
76,5,15,0.8026,0.1842,0.1053,0.1447,0.0789,0.2455,0.0263,0.0,0.0,0.0,0.0395
65,4,16,0.7385,0.1385,0.0923,0.1231,0.0923,0.1611,0.0,0.0,0.0,0.0,0.0154
68,5,14,0.7206,0.25,0.0441,0.0882,0.0882,0.4542,0.0147,0.0,0.0147,0.0,0.0
50,4,12,0.8,0.22,0.06,0.18,0.06,0.4302,0.04,0.0,0.0,0.0,0.02
66,5,13,0.8636,0.197,0.1818,0.0909,0.1061,0.4201,0.0152,0.0,0.0152,0.0,0.0606
60,6,10,0.8,0.2333,0.0667,0.1,0.05,0.4405,0.0,0.0,0.0167,0.0,0.0
50,5,10,0.82,0.16,0.1,0.14,0.1,0.5131,0.0,0.0,0.0,0.0,0.04
54,5,11,0.8519,0.1852,0.1296,0.1296,0.0741,0.425,0.0185,0.0,0.0,0.0,0.0
78,4,20,0.7436,0.1923,0.1538,0.1026,0.0641,0.1024,0.0128,0.0,0.0128,0.0,0.0385
64,5,13,0.7812,0.2031,0.1406,0.0781,0.0781,0.3286,0.0312,0.0,0.0,0.0,0.0312
69,7,10,0.7681,0.2029,0.1739,0.1014,0.0145,0.4668,0.0145,0.0,0.0,0.0,0.058
64,4,16,0.7969,0.1562,0.1094,0.0937,0.1406,0.35,0.0156,0.0,0.0156,0.0,0.0156
62,4,16,0.7581,0.1935,0.0968,0.1935,0.0161,0.2451,0.0161,0.0,0.0,0.0,0.0161
49,3,16,0.8776,0.1837,0.1429,0.1224,0.0816,-0.046,0.0,0.0,0.0,0.0,0.0
60,4,15,0.75,0.2667,0.0667,0.1833,0.0167,0.68,0.0167,0.0,0.0,0.0,0.0333
74,5,15,0.7432,0.1892,0.0946,0.1486,0.0676,0.3767,0.0135,0.0,0.0,0.0,0.027
52,5,10,0.8077,0.2692,0.0769,0.1538,0.0962,0.4417,0.0192,0.0,0.0,0.0,0.0
52,5,10,0.8462,0.1923,0.1154,0.1154,0.0769,0.4905,0.0192,0.0,0.0,0.0,0.0385
68,6,11,0.7941,0.2206,0.0882,0.1618,0.0735,0.4283,0.0147,0.0,0.0147,0.0,0.0147
67,4,17,0.791,0.1791,0.0746,0.1194,0.0299,0.3139,0.0149,0.0,0.0149,0.0,0.0299
54,5,11,0.8148,0.2222,0.0556,0.1667,0.0741,0.4094,0.0,0.0,0.0,0.0,0.0185
62,5,12,0.7903,0.2903,0.0968,0.1452,0.0645,0.4679,0.0161,0.0,0.0,0.0,0.0323
81,6,14,0.6914,0.2222,0.0864,0.1235,0.0494,0.1927,0.0,0.0,0.0123,0.0,0.0247
52,5,10,0.75,0.25,0.0577,0.1538,0.0192,0.5531,0.0385,0.0,0.0,0.0,0.0
67,5,13,0.7313,0.194,0.0896,0.1343,0.0896,0.4954,0.0149,0.0,0.0,0.0,0.0149
61,4,15,0.7541,0.1475,0.0328,0.1639,0.082,0.2016,0.0164,0.0,0.0,0.0,0.0164
71,6,12,0.7606,0.1972,0.0986,0.0704,0.0986,0.5,0.0141,0.0,0.0,0.0,0.0
65,5,13,0.7385,0.1692,0.1077,0.1692,0.0615,0.4955,0.0308,0.0,0.0,0.0,0.0154
60,5,12,0.8333,0.1833,0.1,0.1667,0.0667,0.5139,0.0,0.0,0.0,0.0,0.0333
