Start Bin,Count,Mean Score Change,Top Destinations
0,67,0.13277695129795786,0: 65.7% | >0.3: 17.9% | 0.05-0.1: 9.0%
0-0.05,110,0.11154105662517379,0: 26.4% | 0.05-0.1: 24.5% | >0.3: 12.7%
0.05-0.1,381,0.05020321890235275,0.1-0.15: 41.2% | 0.05-0.1: 26.8% | 0.15-0.2: 14.7%
0.1-0.15,723,0.028261813576780096,0.1-0.15: 44.0% | 0.15-0.2: 31.5% | 0.05-0.1: 10.7%
0.15-0.2,511,0.009814691491657406,0.15-0.2: 49.7% | 0.1-0.15: 21.7% | 0.2-0.25: 20.2%
0.2-0.25,97,-0.005417622048500812,0.2-0.25: 34.0% | 0.15-0.2: 34.0% | 0.1-0.15: 14.4%
0.25-0.3,15,-0.03204150672291429,0.2-0.25: 40.0% | 0.15-0.2: 26.7% | 0.25-0.3: 26.7%
