num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
104,7,15,0.6827,0.125,0.0865,0.1635,0.0577,0.0218,0.0096,0.0096,0.0,0.0096,0.0192
8,1,8,1.0,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
41,2,20,0.6585,0.2195,0.0732,0.1951,0.0244,0.1902,0.0,0.0,0.0244,0.0,0.0
100,7,14,0.68,0.11,0.07,0.1,0.05,0.1198,0.03,0.03,0.0,0.0,0.05
91,7,13,0.7033,0.1648,0.0879,0.1429,0.0769,0.2867,0.0,0.0,0.011,0.0,0.011
1,1,1,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
46,3,15,0.7609,0.2174,0.0652,0.1522,0.0,0.3969,0.0435,0.0217,0.0,0.0,0.0652
8,1,8,1.0,0.5,0.0,0.25,0.0,0.5,0.125,0.0,0.0,0.0,0.0
51,3,17,0.8627,0.2353,0.0392,0.1765,0.0588,0.25,0.0196,0.0,0.0,0.0,0.0
46,4,12,0.8696,0.1957,0.0652,0.1304,0.0217,0.3708,0.0652,0.0435,0.0,0.0,0.0435
101,7,14,0.7228,0.1386,0.1188,0.099,0.0693,0.3444,0.0099,0.0,0.0198,0.0,0.0297
112,7,16,0.7054,0.1964,0.1071,0.125,0.0446,0.2435,0.0,0.0,0.0089,0.0,0.0268
110,6,18,0.6818,0.1545,0.1091,0.1273,0.0909,0.2931,0.0273,0.0,0.0091,0.0,0.0091
102,6,17,0.7059,0.1667,0.1471,0.1373,0.0686,0.1509,0.0392,0.0294,0.0,0.0,0.0588
107,5,21,0.6916,0.2336,0.0935,0.0561,0.0654,0.2052,0.0093,0.0,0.0,0.0,0.028
93,5,19,0.6344,0.1613,0.0968,0.086,0.0538,0.3906,0.0215,0.0,0.0,0.0,0.0215
101,7,14,0.703,0.2079,0.0594,0.1683,0.0297,-0.2134,0.0,0.0,0.0,0.0,0.0099
115,7,16,0.6957,0.1826,0.087,0.1043,0.0522,0.3676,0.0087,0.0087,0.0174,0.0,0.0348
