Start Bin,Count,Mean Score Change,Top Destinations
0,59,0.10899695875417187,0: 59.3% | 0-0.05: 11.9% | >0.3: 11.9%
0-0.05,217,0.0852167744121807,0.05-0.1: 34.6% | 0: 18.0% | 0-0.05: 15.2%
0.05-0.1,417,0.04654132737778586,0.1-0.15: 36.9% | 0.05-0.1: 33.6% | 0.15-0.2: 16.1%
0.1-0.15,732,0.02534049453412782,0.1-0.15: 47.1% | 0.15-0.2: 37.3% | 0.2-0.25: 7.1%
0.15-0.2,441,0.009833356360112303,0.15-0.2: 58.7% | 0.1-0.15: 20.9% | 0.2-0.25: 13.8%
0.2-0.25,38,-0.015372303683666433,0.15-0.2: 42.1% | 0.2-0.25: 36.8% | 0.1-0.15: 10.5%
