num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
114,6,19,0.5877,0.1579,0.1316,0.0789,0.0789,0.0235,0.0088,0.0,0.0,0.0088,0.0263
108,6,18,0.7315,0.1667,0.1296,0.1111,0.0741,0.3873,0.0093,0.0,0.0,0.0,0.0185
107,7,15,0.7009,0.243,0.0935,0.1121,0.0748,0.4218,0.0,0.0,0.0,0.0,0.0093
105,5,21,0.7238,0.1238,0.0762,0.0952,0.1143,0.1167,0.019,0.0,0.0,0.0,0.0286
105,5,21,0.7619,0.1714,0.1143,0.1524,0.0857,0.1418,0.0,0.0,0.0095,0.0,0.019
101,6,17,0.703,0.2376,0.0693,0.1485,0.0396,0.2149,0.0,0.0,0.0,0.0,0.0
103,6,17,0.6699,0.2136,0.0777,0.1068,0.0583,0.2958,0.0,0.0,0.0097,0.0,0.0
114,7,16,0.6579,0.1667,0.0877,0.1404,0.0789,0.448,0.0,0.0,0.0088,0.0,0.0263
105,6,18,0.7143,0.1619,0.0952,0.1333,0.0667,0.35,0.0,0.0,0.0,0.0,0.0286
104,6,17,0.6923,0.1923,0.0865,0.1154,0.0288,0.4236,0.0096,0.0,0.0,0.0096,0.0096
106,7,15,0.6792,0.1887,0.066,0.1038,0.0472,0.2732,0.0,0.0,0.0,0.0,0.0283
112,5,22,0.6964,0.25,0.0625,0.1071,0.0268,0.1984,0.0,0.0,0.0,0.0,0.0089
100,6,17,0.69,0.22,0.05,0.14,0.06,0.2904,0.0,0.0,0.0,0.0,0.0
112,6,19,0.6964,0.2143,0.0893,0.0893,0.0179,0.0301,0.0,0.0,0.0089,0.0,0.0179
105,6,18,0.6762,0.2095,0.0952,0.0952,0.0571,0.303,0.0095,0.0,0.0095,0.0,0.019
108,4,27,0.6852,0.2037,0.0741,0.1111,0.037,0.48,0.0,0.0,0.0185,0.0,0.0093
91,6,15,0.7033,0.1319,0.1209,0.1319,0.0659,-0.0375,0.0,0.0,0.022,0.0,0.022
110,6,18,0.7091,0.1818,0.1,0.1091,0.0364,0.3283,0.0182,0.0,0.0,0.0,0.0273
108,5,22,0.7222,0.1759,0.0741,0.1204,0.0463,0.1993,0.0093,0.0,0.0,0.0,0.0185
108,5,22,0.75,0.1759,0.1019,0.0741,0.1019,0.2818,0.0093,0.0,0.0093,0.0,0.037
99,6,16,0.6869,0.2424,0.0505,0.1111,0.0303,0.7571,0.0,0.0,0.0,0.0,0.0101
109,6,18,0.6972,0.1651,0.0642,0.1101,0.0734,0.2156,0.0183,0.0,0.0092,0.0,0.0183
99,6,16,0.7374,0.2424,0.0707,0.1414,0.0202,0.4462,0.0,0.0,0.0,0.0,0.0303
108,6,18,0.6852,0.1852,0.0926,0.1111,0.0463,0.3455,0.0093,0.0093,0.0,0.0,0.0185
113,8,14,0.6637,0.1858,0.1062,0.0885,0.0354,0.5234,0.0088,0.0088,0.0,0.0,0.0088
87,5,17,0.5977,0.1264,0.1034,0.0805,0.046,0.1821,0.0,0.0,0.0,0.0,0.0115
98,7,14,0.6735,0.2245,0.0612,0.1224,0.051,0.2321,0.0,0.0,0.0,0.0,0.0102
105,6,18,0.6762,0.1714,0.1238,0.1143,0.0667,0.3825,0.0,0.0,0.0,0.0,0.019
110,6,18,0.6727,0.1909,0.0364,0.1091,0.0545,0.3469,0.0,0.0,0.0,0.0,0.0
107,6,18,0.729,0.1589,0.1121,0.1495,0.0654,0.224,0.0187,0.0,0.0,0.0,0.0467
109,6,18,0.7339,0.156,0.0917,0.1193,0.0826,0.2121,0.0183,0.0,0.0092,0.0,0.0183
107,5,21,0.7103,0.1869,0.0935,0.1776,0.0467,0.4361,0.0,0.0,0.0,0.0,0.028
101,5,20,0.6733,0.1683,0.1089,0.099,0.0396,0.1109,0.0,0.0099,0.0198,0.0099,0.0297
106,7,15,0.7453,0.2358,0.1038,0.0849,0.0377,0.4833,0.0,0.0,0.0,0.0,0.0189
106,6,18,0.6981,0.2075,0.1132,0.1132,0.0472,0.5,0.0094,0.0094,0.0,0.0,0.0283
113,5,23,0.6726,0.2035,0.1062,0.115,0.0354,0.3323,0.0,0.0,0.0,0.0,0.0088
115,7,16,0.6609,0.2,0.0783,0.1043,0.0609,0.1883,0.0,0.0,0.0,0.0,0.0348
104,5,21,0.75,0.2308,0.0769,0.1154,0.0385,0.3367,0.0,0.0,0.0,0.0096,0.0096
112,7,16,0.6696,0.2589,0.0804,0.0804,0.0268,0.3111,0.0,0.0,0.0,0.0,0.0268
107,4,27,0.6916,0.1963,0.0748,0.0935,0.0654,0.391,0.0093,0.0,0.0,0.0,0.0093
104,6,17,0.7019,0.2019,0.0962,0.1154,0.0769,0.177,0.0096,0.0,0.0096,0.0,0.0192
112,7,16,0.6964,0.2054,0.0982,0.1161,0.0357,0.3121,0.0,0.0,0.0089,0.0,0.0536
108,7,15,0.7037,0.2315,0.0741,0.0833,0.0556,0.3976,0.0,0.0,0.0185,0.0,0.0
101,4,25,0.6931,0.2178,0.0891,0.1188,0.0396,0.2185,0.0099,0.0,0.0,0.0,0.0297
109,6,18,0.7064,0.1835,0.1193,0.1101,0.0459,0.2861,0.0,0.0,0.0,0.0183,0.0275
101,5,20,0.7624,0.1584,0.0792,0.099,0.0693,0.3534,0.0099,0.0,0.0,0.0,0.0099
109,6,18,0.7248,0.1927,0.055,0.156,0.0459,0.3175,0.0,0.0,0.0092,0.0,0.0367
104,5,21,0.6442,0.2212,0.0577,0.0769,0.0577,0.2533,0.0,0.0,0.0192,0.0,0.0096
108,6,18,0.6759,0.2037,0.0741,0.1204,0.0556,0.653,0.0,0.0,0.0,0.0,0.0093
114,5,23,0.6491,0.2105,0.0789,0.1579,0.0175,0.1605,0.0088,0.0,0.0,0.0,0.0263
97,5,19,0.7113,0.1959,0.0619,0.1237,0.0722,0.4317,0.0,0.0,0.0,0.0,0.0103
108,5,22,0.6389,0.2222,0.0556,0.1204,0.0185,0.3069,0.0,0.0,0.0,0.0,0.0185
108,6,18,0.7685,0.213,0.1204,0.1204,0.0278,0.1611,0.0093,0.0,0.0,0.0093,0.0093
111,7,16,0.7027,0.1982,0.0541,0.1261,0.045,0.2977,0.0,0.0,0.018,0.0,0.009
106,8,13,0.6981,0.2075,0.0755,0.1132,0.066,0.4689,0.0189,0.0,0.0094,0.0,0.0094
112,5,22,0.6875,0.1518,0.0982,0.1339,0.0536,0.4413,0.0,0.0,0.0,0.0,0.0179
112,6,19,0.6964,0.1875,0.0982,0.1339,0.0446,0.1955,0.0,0.0,0.0089,0.0,0.0357
104,7,15,0.7308,0.1635,0.1154,0.1442,0.1058,-0.0778,0.0,0.0,0.0,0.0,0.0288
104,6,17,0.6731,0.1442,0.0673,0.1346,0.0577,0.4248,0.0,0.0,0.0,0.0,0.0288
108,6,18,0.6574,0.1944,0.0833,0.1019,0.0833,0.4688,0.0,0.0,0.0,0.0,0.037
108,6,18,0.713,0.1667,0.0741,0.1204,0.0463,0.2848,0.0,0.0,0.0093,0.0,0.0093
105,6,18,0.7619,0.2381,0.0857,0.1143,0.0286,0.3917,0.0,0.0,0.0095,0.0,0.0
108,6,18,0.7222,0.2037,0.0648,0.1111,0.0463,0.4187,0.0,0.0,0.0,0.0,0.0093
111,5,22,0.7117,0.1982,0.0811,0.1622,0.036,0.2309,0.0,0.0,0.0,0.0,0.027
109,5,22,0.7706,0.1927,0.1101,0.1101,0.0734,0.4205,0.0,0.0,0.0,0.0,0.0183
107,5,21,0.7103,0.243,0.1121,0.0935,0.0374,0.2649,0.0,0.0,0.0093,0.0,0.0467
96,6,16,0.7083,0.1771,0.0937,0.1042,0.0521,0.5385,0.0,0.0,0.0,0.0,0.0208
