num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
89,4,22,0.6742,0.191,0.1124,0.1461,0.0337,0.1806,0.0112,0.0,0.0,0.0,0.0674
54,4,14,0.8148,0.2963,0.1481,0.0926,0.0556,0.5229,0.037,0.0,0.0,0.0,0.0556
37,4,9,0.8649,0.2432,0.1081,0.1351,0.1081,0.4667,0.0,0.0,0.0,0.0,0.027
58,4,14,0.7586,0.2414,0.0517,0.1379,0.0517,0.1296,0.0,0.0,0.0,0.0,0.0
56,4,14,0.6964,0.1429,0.1071,0.1607,0.0893,0.2469,0.0179,0.0,0.0,0.0,0.0
65,5,13,0.7692,0.2,0.0462,0.1846,0.0923,0.212,0.0,0.0,0.0,0.0,0.0154
61,6,10,0.7869,0.1639,0.1148,0.1639,0.082,0.4481,0.0164,0.0,0.0,0.0,0.0164
47,5,9,0.8511,0.234,0.1277,0.1489,0.0426,0.1495,0.0213,0.0,0.0,0.0,0.0426
86,5,17,0.7442,0.2326,0.0814,0.1395,0.0465,0.103,0.0,0.0,0.0116,0.0,0.0233
42,4,10,0.9048,0.1905,0.0952,0.1905,0.0714,0.2833,0.0,0.0,0.0,0.0,0.0476
34,4,8,0.9118,0.1471,0.1765,0.1176,0.0588,0.14,0.0294,0.0,0.0,0.0,0.0294
56,4,14,0.7857,0.1429,0.0893,0.125,0.0179,0.2689,0.0179,0.0,0.0,0.0,0.0
37,5,7,0.8919,0.1622,0.1081,0.1892,0.1081,0.5344,0.027,0.0,0.027,0.0,0.0
90,5,18,0.7111,0.2222,0.1111,0.1,0.0667,0.1341,0.0111,0.0,0.0,0.0,0.0333
48,5,10,0.8125,0.2292,0.0417,0.125,0.1042,0.1012,0.0,0.0,0.0,0.0,0.0
77,6,13,0.8182,0.2338,0.1429,0.1558,0.039,0.3509,0.013,0.0,0.0,0.0,0.013
45,4,11,0.8222,0.1556,0.0889,0.1111,0.0222,-0.1646,0.0,0.0,0.0,0.0,0.0222
34,4,8,0.9118,0.2059,0.1765,0.0882,0.0294,0.5125,0.0294,0.0,0.0,0.0,0.0294
85,5,17,0.7176,0.1765,0.1294,0.0824,0.0941,0.4357,0.0353,0.0118,0.0118,0.0,0.0353
52,5,10,0.7885,0.1731,0.1154,0.1538,0.0769,0.0331,0.0,0.0,0.0192,0.0,0.0
57,5,11,0.7368,0.2456,0.0526,0.1228,0.0702,0.6,0.0175,0.0175,0.0,0.0,0.0351
38,4,10,0.8421,0.2895,0.0789,0.1316,0.0263,0.5458,0.0263,0.0,0.0,0.0,0.0
66,5,13,0.8333,0.303,0.1061,0.1061,0.0455,0.3333,0.0152,0.0,0.0,0.0,0.0152
39,4,10,0.8718,0.2051,0.1026,0.2051,0.0256,0.4286,0.0256,0.0,0.0,0.0,0.0256
49,4,12,0.7959,0.1837,0.102,0.1429,0.102,0.5943,0.0408,0.0,0.0,0.0,0.0204
64,3,21,0.8281,0.2031,0.0937,0.1562,0.0625,0.1593,0.0,0.0,0.0,0.0,0.0156
63,4,16,0.8095,0.2222,0.0635,0.127,0.0317,0.3525,0.0159,0.0,0.0159,0.0,0.0159
56,5,11,0.8214,0.1964,0.0893,0.125,0.0893,0.4208,0.0179,0.0,0.0,0.0,0.0179
54,5,11,0.7963,0.1852,0.1111,0.1667,0.0926,0.5623,0.0185,0.0,0.0,0.0,0.0
57,3,19,0.807,0.2456,0.0702,0.1579,0.0175,0.1417,0.0,0.0,0.0175,0.0,0.0
59,4,15,0.7288,0.1525,0.0508,0.2034,0.0678,0.1758,0.0169,0.0,0.0169,0.0,0.0
51,5,10,0.8431,0.1176,0.1961,0.1373,0.0588,0.3722,0.0392,0.0,0.0196,0.0,0.0196
82,4,20,0.7073,0.1707,0.1098,0.1098,0.061,0.35,0.0122,0.0,0.0,0.0,0.0488
83,6,14,0.8193,0.1687,0.1084,0.1566,0.0482,0.3597,0.012,0.0,0.0,0.0,0.0241
39,4,10,0.8205,0.1795,0.1026,0.2051,0.0513,0.4565,0.0256,0.0,0.0,0.0,0.0
72,5,14,0.75,0.2083,0.0972,0.1389,0.0556,0.2508,0.0139,0.0,0.0,0.0,0.0
52,5,10,0.8269,0.1731,0.0962,0.1538,0.1154,0.1722,0.0385,0.0,0.0192,0.0,0.0192
52,3,17,0.75,0.25,0.0385,0.1923,0.0,0.4367,0.0,0.0,0.0192,0.0,0.0
32,4,8,0.9062,0.1875,0.1562,0.25,0.0625,0.4048,0.0,0.0,0.0,0.0,0.0
63,5,13,0.7619,0.2222,0.0952,0.127,0.0635,0.253,0.0159,0.0,0.0,0.0,0.0
59,5,12,0.7627,0.2542,0.1017,0.1695,0.0508,0.376,0.0339,0.0,0.0,0.0,0.0
44,5,9,0.8409,0.2045,0.0909,0.1364,0.1136,0.44,0.0,0.0,0.0227,0.0,0.0227
47,5,9,0.8936,0.2128,0.1277,0.0851,0.0851,0.6,0.0213,0.0,0.0,0.0,0.0
53,4,13,0.7736,0.2264,0.0377,0.2075,0.0377,0.3968,0.0,0.0,0.0,0.0,0.0
53,4,13,0.8491,0.2453,0.0943,0.1321,0.0,0.5857,0.0,0.0,0.0,0.0,0.0
67,4,17,0.806,0.2388,0.0896,0.1194,0.0597,0.4208,0.0149,0.0,0.0,0.0,0.0299
55,5,11,0.8182,0.2182,0.1273,0.1273,0.0909,0.2458,0.0182,0.0,0.0,0.0,0.0182
68,4,17,0.7353,0.1765,0.1029,0.0882,0.0882,0.2096,0.0147,0.0,0.0,0.0,0.0294
40,4,10,0.875,0.225,0.1,0.125,0.025,0.3833,0.025,0.0,0.0,0.0,0.025
65,5,13,0.6923,0.2154,0.0769,0.1692,0.0308,0.3009,0.0,0.0,0.0154,0.0,0.0154
53,4,13,0.7925,0.1509,0.0755,0.0943,0.1321,0.448,0.0189,0.0,0.0,0.0,0.0377
57,4,14,0.8421,0.2632,0.0877,0.1579,0.0702,0.3632,0.0,0.0,0.0,0.0,0.0
46,4,12,0.8696,0.2609,0.0652,0.1739,0.0652,0.1573,0.0217,0.0,0.0,0.0,0.0
39,4,10,0.8974,0.2564,0.1026,0.1538,0.0513,0.5681,0.0,0.0,0.0,0.0,0.0513
45,4,11,0.8222,0.1556,0.1111,0.2,0.0222,0.4483,0.0222,0.0,0.0,0.0,0.0444
33,4,8,1.0,0.1515,0.1212,0.1515,0.0606,0.5333,0.0,0.0,0.0,0.0,0.0303
61,4,15,0.7705,0.2459,0.0328,0.1967,0.0328,0.3705,0.0164,0.0,0.0,0.0,0.0
