num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
90,5,18,0.6556,0.2111,0.1,0.0778,0.0111,0.2929,0.0,0.0,0.0,0.0,0.0111
79,2,40,0.6456,0.2278,0.038,0.1139,0.0127,0.245,0.0,0.0,0.0,0.0,0.0127
89,4,22,0.6742,0.2135,0.1124,0.0787,0.0225,0.2625,0.0337,0.0112,0.0,0.0,0.0225
107,6,18,0.6916,0.1402,0.1402,0.0841,0.0841,-0.009,0.0,0.0,0.0,0.0,0.0467
98,4,24,0.6633,0.2653,0.1531,0.0816,0.0306,0.2429,0.0102,0.0102,0.0102,0.0,0.0306
106,6,18,0.6887,0.2453,0.0755,0.0849,0.0377,0.1735,0.0,0.0,0.0094,0.0,0.0189
95,7,14,0.7579,0.2632,0.0947,0.0842,0.0211,0.3813,0.0,0.0,0.0,0.0,0.0211
104,7,15,0.7404,0.2308,0.0962,0.1058,0.0673,0.4789,0.0,0.0,0.0,0.0,0.0
88,7,13,0.6932,0.2386,0.0795,0.1136,0.0341,0.475,0.0,0.0,0.0,0.0,0.0114
110,5,22,0.6727,0.1909,0.1182,0.1455,0.0364,0.2465,0.0182,0.0,0.0091,0.0,0.0273
94,4,24,0.6383,0.2447,0.1489,0.0851,0.0106,0.2292,0.0106,0.0106,0.0,0.0,0.0426
82,2,41,0.6463,0.3293,0.122,0.061,0.0122,0.4643,0.0,0.0,0.0,0.0,0.0488
102,5,20,0.6961,0.2059,0.0882,0.1176,0.0392,0.5409,0.0,0.0,0.0,0.0098,0.0294
83,5,17,0.6867,0.2048,0.0843,0.0602,0.012,0.3016,0.0,0.0,0.0,0.0,0.0241
91,6,15,0.6484,0.2967,0.0879,0.0659,0.022,0.1677,0.011,0.011,0.0,0.0,0.022
62,5,12,0.629,0.1774,0.1935,0.0323,0.0645,0.3,0.0,0.0,0.0,0.0,0.0323
105,7,15,0.6762,0.1905,0.1333,0.0571,0.0571,-0.38,0.0,0.0,0.0,0.0,0.0381
97,2,48,0.5876,0.2474,0.1237,0.1031,0.0515,0.1071,0.0103,0.0103,0.0,0.0,0.0619
99,6,16,0.8182,0.2222,0.1212,0.1111,0.0505,0.1856,0.0,0.0,0.0101,0.0,0.0101
78,4,20,0.7436,0.1795,0.0897,0.1026,0.0256,0.4222,0.0128,0.0128,0.0128,0.0,0.0385
85,5,17,0.6235,0.1529,0.0941,0.0353,0.0235,0.4481,0.0,0.0,0.0,0.0,0.0118
93,5,19,0.6989,0.172,0.0645,0.086,0.043,0.0976,0.0,0.0108,0.0,0.0108,0.0108
111,6,18,0.7297,0.1712,0.1171,0.0811,0.0721,0.2351,0.0,0.0,0.009,0.0,0.018
104,6,17,0.6538,0.1635,0.1154,0.0385,0.0481,0.0604,0.0096,0.0096,0.0,0.0,0.0288
110,4,28,0.7091,0.2,0.1182,0.0909,0.0364,0.3016,0.0,0.0,0.0,0.0,0.0182
73,4,18,0.8219,0.274,0.0822,0.1096,0.0,0.1631,0.0,0.0,0.0137,0.0,0.0
94,4,24,0.5213,0.0957,0.117,0.0319,0.0,0.2759,0.0,0.0,0.0,0.0,0.0106
111,6,18,0.6847,0.2072,0.0721,0.1261,0.045,0.3065,0.018,0.009,0.0,0.0,0.0541
111,6,18,0.7297,0.2162,0.1171,0.1261,0.045,0.5345,0.018,0.009,0.0,0.0,0.027
71,3,24,0.7887,0.2676,0.0845,0.0563,0.0282,0.3183,0.0282,0.0141,0.0,0.0,0.0423
110,6,18,0.6545,0.1909,0.1818,0.0636,0.0273,0.0871,0.0,0.0,0.0,0.0,0.0545
107,5,21,0.6262,0.2336,0.1682,0.0841,0.0467,0.2536,0.0093,0.0093,0.0093,0.0,0.0841
106,5,21,0.7453,0.1698,0.0943,0.0849,0.0755,0.3458,0.0094,0.0,0.0094,0.0,0.0094
86,8,11,0.7326,0.2791,0.1163,0.0581,0.0116,0.182,0.0,0.0,0.0,0.0,0.0233
88,4,22,0.6136,0.2045,0.0568,0.0682,0.0455,0.245,0.0114,0.0,0.0,0.0,0.0
110,6,18,0.7636,0.2091,0.1091,0.1545,0.0455,0.452,0.0,0.0,0.0,0.0,0.0182
88,8,11,0.75,0.2386,0.1023,0.0568,0.0455,0.0139,0.0114,0.0,0.0,0.0,0.0227
95,4,24,0.6737,0.1474,0.0947,0.0737,0.0211,0.0786,0.0,0.0,0.0,0.0,0.0316
102,6,17,0.6961,0.2157,0.1373,0.0784,0.049,0.1031,0.0098,0.0098,0.0,0.0,0.0392
84,5,17,0.7619,0.1786,0.0952,0.0952,0.0238,0.0357,0.0119,0.0,0.0,0.0,0.0
89,5,18,0.618,0.2921,0.0899,0.0899,0.0225,0.381,0.0,0.0,0.0,0.0,0.0112
115,6,19,0.6087,0.2087,0.113,0.0522,0.0435,0.1864,0.0087,0.0,0.0,0.0,0.0348
98,4,24,0.6429,0.1735,0.102,0.0714,0.0204,0.1531,0.0,0.0,0.0102,0.0,0.0408
102,5,20,0.7157,0.2745,0.098,0.1275,0.0392,0.294,0.0,0.0,0.0,0.0,0.0294
112,6,19,0.7411,0.1696,0.0982,0.0982,0.0714,0.3536,0.0,0.0,0.0,0.0,0.0089
92,4,23,0.663,0.2174,0.087,0.0652,0.0217,0.1286,0.0,0.0,0.0,0.0,0.0
112,5,22,0.7232,0.1875,0.1161,0.0804,0.0268,0.4143,0.0,0.0,0.0,0.0,0.0179
79,5,16,0.6962,0.2532,0.0759,0.038,0.0127,0.3896,0.0,0.0,0.0,0.0,0.0127
96,4,24,0.6458,0.2396,0.1042,0.1562,0.0208,0.1756,0.0,0.0,0.0,0.0,0.0104
80,6,13,0.75,0.2875,0.0625,0.1375,0.025,0.2409,0.0,0.0,0.0,0.0,0.0125
95,5,19,0.6632,0.1474,0.0842,0.0632,0.0211,0.151,0.0105,0.0,0.0,0.0,0.0211
96,6,16,0.7604,0.2292,0.1667,0.0312,0.0521,0.0667,0.0,0.0,0.0104,0.0,0.0417
111,6,18,0.7387,0.2252,0.1351,0.0811,0.0631,0.1064,0.0,0.0,0.027,0.0,0.0631
91,6,15,0.6044,0.2088,0.0879,0.0769,0.022,0.1742,0.0,0.0,0.0,0.0,0.022
98,3,33,0.602,0.1939,0.102,0.0816,0.0102,-0.0021,0.0,0.0,0.0,0.0,0.0204
89,6,15,0.6854,0.191,0.1124,0.1236,0.0225,0.239,0.0,0.0,0.0,0.0,0.0337
99,5,20,0.6162,0.1818,0.202,0.0909,0.0404,0.0667,0.0101,0.0101,0.0101,0.0,0.0909
58,4,14,0.5517,0.1724,0.1552,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0517
110,6,18,0.7273,0.1727,0.0909,0.1091,0.0455,0.337,0.0,0.0,0.0,0.0,0.0091
