Start Bin,Count,Mean Score Change,Top Destinations
0,80,0.026204826056636744,0: 56.2% | 0-0.05: 26.2% | 0.05-0.1: 10.0%
0-0.05,263,0.04544406564518853,0.05-0.1: 39.5% | 0-0.05: 31.6% | 0.1-0.15: 12.5%
0.05-0.1,535,0.04014060463000812,0.1-0.15: 41.1% | 0.05-0.1: 35.1% | 0.15-0.2: 14.2%
0.1-0.15,797,0.027014377202565717,0.1-0.15: 49.1% | 0.15-0.2: 36.9% | 0.2-0.25: 6.5%
0.15-0.2,217,0.009258632069904292,0.15-0.2: 59.0% | 0.1-0.15: 24.4% | 0.2-0.25: 13.4%
0.2-0.25,12,-0.025644996010638132,0.15-0.2: 41.7% | 0.1-0.15: 25.0% | 0.2-0.25: 16.7%
