num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
50,3,17,0.74,0.24,0.08,0.08,0.06,0.025,0.02,0.0,0.0,0.0,0.04
8,1,8,1.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
36,4,9,0.8056,0.25,0.0833,0.1944,0.0278,0.3529,0.0278,0.0,0.0,0.0,0.0
77,6,13,0.7273,0.1818,0.039,0.1688,0.0649,0.0477,0.0,0.0,0.026,0.0,0.026
57,3,19,0.7719,0.193,0.1053,0.1404,0.0526,0.3726,0.0175,0.0,0.0,0.0,0.0175
1,1,1,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
48,5,10,0.7292,0.25,0.0833,0.0833,0.0625,0.4869,0.0208,0.0,0.0,0.0,0.0208
9,1,9,1.0,0.3333,0.1111,0.1111,0.0,0.8,0.0,0.0,0.0,0.0,0.0
35,3,12,0.7714,0.1429,0.0,0.2286,0.1143,0.3181,0.0857,0.0,0.0,0.0,0.0
42,4,10,0.9048,0.1667,0.0952,0.1667,0.0476,0.4736,0.0238,0.0,0.0,0.0,0.0238
49,5,10,0.7551,0.2041,0.1224,0.102,0.0408,0.25,0.0,0.0,0.0204,0.0,0.0204
64,6,11,0.7031,0.125,0.125,0.2031,0.0156,0.3635,0.0312,0.0,0.0,0.0,0.0156
100,5,20,0.67,0.14,0.08,0.12,0.05,0.2024,0.01,0.0,0.0,0.0,0.01
106,8,13,0.6604,0.1887,0.0943,0.0943,0.0755,-0.0558,0.0283,0.0,0.0189,0.0,0.0189
79,4,20,0.7215,0.1392,0.0633,0.1519,0.0633,0.0089,0.0,0.0127,0.0,0.0127,0.0127
40,4,10,0.9,0.125,0.05,0.175,0.1,0.4479,0.05,0.0,0.0,0.0,0.0
55,5,11,0.7818,0.2,0.0727,0.1273,0.0364,-0.1024,0.0,0.0,0.0,0.0,0.0182
106,5,21,0.7358,0.1509,0.1226,0.1038,0.0566,0.3205,0.0094,0.0,0.0189,0.0094,0.0094
46,4,12,0.7826,0.1739,0.1304,0.0435,0.0652,0.52,0.0652,0.0,0.0217,0.0,0.0
57,6,10,0.7544,0.193,0.0702,0.1053,0.1053,0.1688,0.0,0.0,0.0175,0.0,0.0
80,6,13,0.6875,0.175,0.1,0.0625,0.1375,0.5667,0.0125,0.0,0.0125,0.0,0.0
44,5,9,0.7727,0.1818,0.0909,0.1364,0.0682,0.3187,0.0455,0.0,0.0,0.0,0.0227
12,2,6,1.0,0.3333,0.0833,0.1667,0.0,0.6694,0.0,0.0,0.0,0.0,0.0
50,4,12,0.8,0.16,0.1,0.12,0.06,0.2146,0.02,0.0,0.0,0.0,0.02
62,6,10,0.7581,0.1613,0.0968,0.1613,0.0968,0.3317,0.0484,0.0,0.0,0.0,0.0161
70,5,14,0.6286,0.1571,0.0429,0.0857,0.0714,0.2806,0.0286,0.0,0.0,0.0,0.0
18,2,9,0.8333,0.1667,0.0,0.2778,0.0,0.1675,0.0556,0.0,0.0,0.0,0.0
79,5,16,0.6709,0.1519,0.1266,0.1139,0.0506,0.5111,0.0253,0.0,0.0127,0.0,0.0253
15,3,5,1.0,0.0667,0.1333,0.2,0.0667,0.62,0.0,0.0,0.0,0.0,0.0667
35,3,12,0.6857,0.1143,0.1429,0.1429,0.0571,0.2104,0.0,0.0286,0.0286,0.0286,0.0857
84,5,17,0.6667,0.1667,0.0833,0.119,0.0595,0.1934,0.0119,0.0,0.0,0.0,0.0357
95,7,14,0.6947,0.2,0.0842,0.1579,0.0316,0.2904,0.0105,0.0,0.0105,0.0,0.0211
93,5,19,0.6667,0.1505,0.086,0.1828,0.043,0.3049,0.0215,0.0,0.0108,0.0,0.0215
88,8,11,0.7045,0.1818,0.1023,0.1477,0.0682,0.141,0.0114,0.0,0.0,0.0114,0.0
46,4,12,0.8478,0.1304,0.087,0.1739,0.087,0.4192,0.0217,0.0,0.0,0.0,0.0217
91,6,15,0.6703,0.2527,0.0549,0.1209,0.044,0.55,0.033,0.0,0.0,0.0,0.011
80,5,16,0.6875,0.175,0.1375,0.1375,0.025,0.2805,0.0125,0.0,0.0,0.0,0.0375
55,5,11,0.7636,0.2364,0.0727,0.1273,0.0182,0.4643,0.0364,0.0,0.0182,0.0,0.0182
82,6,14,0.7317,0.1829,0.1098,0.122,0.0976,0.1284,0.0244,0.0,0.0,0.0,0.061
89,5,18,0.7416,0.1573,0.0674,0.1685,0.0674,0.2323,0.0,0.0,0.0,0.0,0.0112
68,7,10,0.6912,0.1912,0.1029,0.1618,0.0294,0.4284,0.0294,0.0,0.0147,0.0,0.0147
57,5,11,0.8421,0.1579,0.1228,0.1228,0.0877,0.432,0.0175,0.0,0.0175,0.0,0.0351
2,1,2,1.0,0.5,0.0,0.5,0.0,0.7,0.5,0.0,0.0,0.0,0.0
33,4,8,0.9091,0.1818,0.0606,0.2121,0.0606,0.2575,0.0303,0.0,0.0,0.0,0.0
78,6,13,0.6923,0.1538,0.0897,0.1026,0.1026,0.3421,0.0128,0.0,0.0128,0.0,0.0128
45,3,15,0.7556,0.1333,0.0667,0.2,0.0222,0.4452,0.0222,0.0,0.0,0.0,0.0444
50,6,8,0.82,0.14,0.1,0.14,0.1,0.65,0.02,0.0,0.0,0.0,0.0
23,3,8,0.6522,0.0435,0.0435,0.2174,0.0435,0.2625,0.087,0.0,0.0,0.0,0.0
