model,group,threshold,num_samples,mean_initial_distance,mean_distance_change,mean_rouge_change,num_rouge_improved,num_rouge_worsened,pct_rouge_improved,pct_rouge_worsened
GEMMA-2-27B,high_distance,0.5467,476,0.6133,-0.0655,0.0481,308,127,64.7059,26.6807
GEMMA-2-27B,low_distance,0.5467,1428,0.4298,-0.0224,0.0275,909,510,63.6555,35.7143
LLAMA-3.1-8B,high_distance,0.6923,476,0.7413,-0.1791,0.0416,374,68,78.5714,14.2857
LLAMA-3.1-8B,low_distance,0.6923,1428,0.5880,-0.1064,0.0281,1086,324,76.0504,22.6891
GEMMA-2-9B,high_distance,0.5628,476,0.6250,-0.0706,0.0471,314,123,65.9664,25.8403
GEMMA-2-9B,low_distance,0.5628,1428,0.4466,-0.0238,0.0233,924,492,64.7059,34.4538
