Start Bin,Count,Mean Score Change,Top Destinations
0,66,0.12643734513374308,0: 69.7% | >0.3: 16.7% | 0.05-0.1: 6.1%
0-0.05,134,0.09260434506177936,0.05-0.1: 35.1% | 0: 15.7% | 0-0.05: 13.4%
0.05-0.1,376,0.04719105385525113,0.1-0.15: 36.2% | 0.05-0.1: 30.3% | 0.15-0.2: 15.2%
0.1-0.15,738,0.020643644718429877,0.1-0.15: 44.9% | 0.15-0.2: 35.1% | 0.05-0.1: 10.6%
0.15-0.2,502,0.0061142277296042805,0.15-0.2: 53.6% | 0.1-0.15: 23.1% | 0.2-0.25: 15.3%
0.2-0.25,82,-0.009443610821717983,0.2-0.25: 37.8% | 0.15-0.2: 34.1% | 0.25-0.3: 12.2%
0.25-0.3,6,-0.05156316758780427,0.15-0.2: 50.0% | 0.1-0.15: 16.7% | 0.2-0.25: 16.7%
