Start Bin,Count,Mean Score Change,Top Destinations
0,68,0.019137752096548426,0: 63.2% | 0-0.05: 27.9% | 0.05-0.1: 5.9%
0-0.05,216,0.02845955269007969,0-0.05: 42.1% | 0.05-0.1: 38.4% | 0.1-0.15: 10.2%
0.05-0.1,435,0.022393295749485065,0.05-0.1: 50.1% | 0.1-0.15: 33.1% | 0.15-0.2: 8.5%
0.1-0.15,796,0.019480865287253814,0.1-0.15: 57.4% | 0.15-0.2: 31.2% | 0.05-0.1: 6.7%
0.15-0.2,356,0.0009383122497513948,0.15-0.2: 60.1% | 0.1-0.15: 25.0% | 0.2-0.25: 11.8%
0.2-0.25,31,-0.020333851313541342,0.15-0.2: 67.7% | 0.2-0.25: 19.4% | 0.1-0.15: 6.5%
0.25-0.3,2,-0.04278445328531143,0.2-0.25: 50.0% | 0.15-0.2: 50.0% | 0: 0.0%
